Year,Mon,day,Origin-Time - hr - (UTC),Origin-Time - min - (UTC),Origin-Time - sec - (UTC),Latitude - ∞N,Longitude - ∞E,Depth - (Km),Magnitude - (Richter scale)
2018,1,1,20,51,48,19.8,73.1,10,3.2
2018,1,1,16,1,1,26.8,92.3,30,3
2018,1,1,1,3,17,24.8,94,32,3.2
2018,1,4,19,57,40,6.6,95.2,198,4.8
2018,1,5,20,23,7,26,92.3,10,3.4
2018,1,5,7,11,4,26.1,92.1,20,4
2018,1,6,9,1,58,26.3,92.8,30,3.2
2018,1,7,6,47,16,24.7,94.7,35,6
2018,1,9,19,20,23,25.7,90.4,10,3.2
2018,1,9,12,55,34,32.1,75.7,10,3
2018,1,11,18,26,25,18.4,94,10,6.2
2018,1,14,15,48,8,12.2,92.3,10,4.8
2018,1,14,9,19,28,36.5,70.7,196,5.5
2018,1,16,7,35,34,17.3,73.9,23,3.7
2018,1,20,10,6,49,24,94.3,80,4.2
2018,1,20,1,14,31,26.3,89.8,10,5.2
2018,1,21,6,6,48,17.3,73.8,10,3.6
2018,1,23,13,2,10,21,70.6,10,3.6
2018,1,25,3,48,28,8.3,91.7,10,5
2018,1,28,21,2,55,25.9,90.3,10,3.4
2018,1,31,7,6,32,37.4,69.6,190,6.2
2018,1,31,7,6,32,37.4,69.6,190,6.2
2018,2,2,1,41,57,17.3,73.9,10,3.4
2018,2,4,19,40,44,24.3,93.2,10,3.2
2018,2,11,21,40,31,30.8,78.1,10,3.2
2018,2,13,2,39,48,12.3,93,10,5.6
2018,2,14,18,43,9,27.3,92.5,10,3.3
2018,2,20,8,12,14,22.8,93.1,10,4.2
2018,2,20,7,11,39,33.1,75.6,5,3.3
2018,2,23,11,56,25,6.1,92.6,35,4.7
2018,2,24,9,42,39,26.2,92.9,25,3.3
2018,2,25,9,54,18,26.8,92.7,18,3.3
2018,2,26,8,42,24,27.2,92.4,10,3.2
2018,3,3,1,31,31,24,93.5,50,3.7
2018,3,5,20,13,41,17.3,73.8,10,3.2
2018,3,5,20,41,46,26.5,93.4,10,3.5
2018,3,6,4,39,57,6.8,93.5,10,4.8
2018,3,10,3,21,28,35.7,76.1,10,4.5
2018,3,15,17,7,23,25.2,93.7,13,3.5
2018,3,15,14,53,21,33.2,76.1,10,3.4
2018,3,15,2,26,4,24.5,93.4,27,4.6
2018,3,21,22,58,25,26.3,89.6,20,3.9
2018,3,24,22,17,48,36.4,70.7,172,5.1
2018,3,28,22,33,17,23.2,70.8,30,4.6
2018,4,1,15,11,51,29.7,80.1,17,3.5
2018,4,4,15,21,30,25,94.5,77,4.4
2018,4,10,14,14,20,24.2,82.6,10,4.6
2018,4,16,6,8,13,8.4,91.4,10,4.5
2018,4,21,11,26,35,21.5,73.2,10,3.5
2018,4,21,7,10,59,24.6,93.1,25,3.4
2018,4,23,18,1,39,13.2,92.4,45,4.8
2018,4,24,18,46,51,28.8,76.9,7,3
2018,4,24,4,8,37,23.1,94.4,90,5.5
2018,4,26,20,54,22,25.4,88.8,32,4.2
2018,4,27,20,33,35,29.2,76.8,5,3.5
2018,5,9,10,41,34,36.9,71.3,96,6.1
2018,5,10,14,8,34,36.5,71,170,5.4
2018,5,11,2,11,51,25.2,92.6,5,3.7
2018,5,12,3,57,38,32.3,76.6,5,3
2018,5,13,18,45,51,6.9,94.5,10,4.7
2018,5,13,18,20,45,7,94,10,4.9
2018,5,15,1,17,32,26.5,93.2,27,3.2
2018,5,21,10,51,5,31.6,78.4,5,4.1
2018,5,22,12,35,0,31.1,77.8,10,3.6
2018,5,24,21,5,22,31.8,78.4,10,3.6
2018,5,24,14,25,16,29.7,80.7,12,3.6
2018,5,25,20,25,43,26.5,93.6,25,3.2
2018,5,25,17,41,34,10,93.9,10,4.8
2018,5,25,7,22,50,31.6,78.2,10,3.5
2018,5,28,1,59,43,8.6,94.3,10,5
2018,6,1,1,55,33,36.5,71,80,5
2018,6,2,5,46,11,27.2,96.8,30,5.3
2018,6,5,23,12,32,23.8,94.3,84,5
2018,6,5,1,34,37,29.4,81.6,10,4.7
2018,6,6,18,16,0,35.3,78.5,30,5.1
2018,6,6,17,41,28,30.6,78.8,15,4.4
2018,6,7,6,51,26,34.4,78,35,4.4
2018,6,11,4,53,49,26.2,92.5,10,5.1
2018,6,14,13,28,54,35.4,73.6,180,5
2018,6,14,10,15,50,32.5,76.1,5,4.5
2018,6,14,0,42,8,30.8,78.2,10,4
2018,6,16,22,6,35,31.4,77.7,5,3.2
2018,6,17,15,7,35,27.5,88.4,28,4.7
2018,6,17,14,21,29,30,70.2,10,5.1
2018,6,18,23,45,3,35.8,78.6,10,4.5
2018,6,20,7,44,27,24.7,94.1,33,4.6
2018,6,20,4,15,22,27.3,88,10,4.3
2018,6,20,4,8,58,27.3,87.9,10,4.2
2018,6,21,20,29,22,7.4,94.6,10,5
2018,6,21,3,31,23,23.9,93.9,40,4
2018,6,22,21,7,23,32.9,76.1,5,3
2018,6,24,15,58,10,26,93.6,16,3.5
2018,6,24,11,7,49,23.8,94.5,40,4.4
2018,6,25,19,57,45,32.8,76,10,3.3
2018,6,26,12,16,1,27.3,88.6,10,3.9
2018,6,28,4,7,50,27.7,84.9,10,4.7
2018,7,1,10,7,3,28.9,77,5,4
2018,7,3,23,55,16,13.2,93.8,10,4.5
2018,7,4,20,34,53,14.7,96.4,10,5.2
2018,7,4,7,12,47,13.2,92.6,10,5.2
2018,7,6,11,14,24,29.1,77.2,10,3.5
2018,7,8,9,54,35,7.4,94.3,70,4.7
2018,7,8,4,13,22,27.3,75.9,10,4.3
2018,7,9,8,5,48,30.6,79.3,25,3.2
2018,7,9,7,22,17,12.5,75.6,10,3.4
