Year,Mon,day,Origin-Time - hr - (UTC),Origin-Time - min - (UTC),Origin-Time - sec - (UTC),Latitude - ∞N,Longitude - ∞E,Depth - (Km),Magnitude - (Richter scale)
2015,1,1,17,16,34.4,35.94,70.17,10,3.9
2015,1,2,7,23,33,24.09,94.08,84,3.8
2015,1,2,23,23,14.8,22.31,96.34,10,3.5
2015,1,3,12,46,41,36.44,71.63,185,4.9
2015,1,5,9,20,16.7,24.13,93.94,79,3.6
2015,1,5,19,41,42.5,28.87,81.65,10,4
2015,1,5,23,25,32,33.1,92.97,10,4.8
2015,1,6,20,21,46.5,36.26,70.65,100,4.3
2015,1,7,4,8,25,36.75,70.5,200,4.3
2015,1,8,14,12,39.5,30.27,69.59,33,3.8
2015,1,8,16,29,23.2,36.66,71.06,100,4
2015,1,9,4,8,56.5,36.74,70.04,300,4.1
2015,1,10,13,6,44.7,11.77,93.45,150,5.3
2015,1,11,20,5,55.4,35.99,70.05,150,4.3
2015,1,11,20,55,33.5,36.2,70.79,111,4.7
2015,1,11,22,56,13.1,36.81,75.3,10,3.3
2015,1,13,6,33,53.9,24.67,94.27,76,3.3
2015,1,14,21,29,4.4,37.77,72.39,100,4.2
2015,1,15,1,33,1,22.62,92.52,10,4.6
2015,1,17,5,25,4,35.89,70.29,10,4.5
2015,1,17,23,30,15.1,36.32,69.54,139,4.7
2015,1,18,13,9,32.5,25.39,96.99,10,4
2015,1,18,22,23,59.5,27.99,93.9,10,3.1
2015,1,20,18,43,52,36.3,70.77,10,4.2
2015,1,20,21,41,33,31.89,71.69,10,3.4
2015,1,22,3,42,36.4,29.2,80.95,10,4.1
2015,1,22,7,43,14.8,12.91,92.94,30,4.1
2015,1,23,0,29,42.2,12.87,92.8,10,4.1
2015,1,23,4,49,7,29.71,80.44,18,3.1
2015,1,24,16,11,41.5,25.09,95,124,4.9
2015,1,24,17,19,10.6,35.66,69.75,10,3.9
2015,1,26,18,29,24.2,12.52,92.68,10,4.4
2015,1,27,12,41,31.5,22.94,95.85,10,3.8
2015,1,28,17,4,18,33.21,75.33,5,3.5
2015,1,29,15,52,40.9,33.15,85.69,10,3.2
2015,1,30,1,49,55.4,37.47,71.38,33,4.2
2015,1,30,6,37,41.5,12.85,95.26,10,3.6
2015,1,31,9,35,16,35.94,70.43,10,4.6
2015,1,31,13,59,43.9,28.25,84.1,10,4.1
2015,1,31,21,55,21.2,32.67,73.54,10,3.6
2015,2,1,13,33,1,24.99,96.94,21,4.2
2015,2,1,16,0,49.2,26.52,93.29,35,4.2
2015,2,1,16,54,43.2,36.4,70.65,194,4.7
2015,2,2,23,51,30.2,36.67,72.26,60,4.2
2015,2,3,9,28,4.4,26.24,90.83,11,3.8
2015,2,4,10,44,17.2,32.97,83.46,10,5.1
2015,2,4,19,52,56.2,33,84.24,10,3.4
2015,2,5,0,47,3,34.38,73.66,41,4
2015,2,5,10,36,53.7,36.44,71.11,250,3.8
2015,2,6,13,13,9.3,26.87,91.97,16,3.4
2015,2,6,22,39,27.1,25.46,94.5,82,3.6
2015,2,7,1,42,53.5,36.6,70.15,200,4.4
2015,2,7,2,41,45.2,36,70.29,190,4.2
2015,2,7,6,27,18.2,33.24,83.35,10,4.4
2015,2,7,13,40,39,36.55,70.27,80,3.9
2015,2,7,17,25,48.7,37.38,72.38,115,4.5
2015,2,7,23,35,54,36.83,72.54,33,4.4
2015,2,9,14,13,0.1,9.8,93.22,18,4.6
2015,2,10,12,34,15.3,37.34,71.89,252,4.2
2015,2,10,23,16,28.7,37.6,72.31,204,4.2
2015,2,11,3,30,12,13.23,92.22,9,5.3
2015,2,11,20,14,58.5,35.89,72.74,266,3.6
2015,2,12,8,19,34.2,34.74,74.97,15,3.6
2015,2,12,14,33,8.3,24.1,93.83,60,4.7
2015,2,12,15,33,52.4,24.15,93.88,38,3.6
2015,2,13,22,21,48.2,31.51,81.07,31,3.6
2015,2,14,0,44,29.2,31.47,81.17,19,3.9
2015,2,14,9,18,15.1,37.51,71.93,100,4.3
2015,2,14,17,6,44.2,27.42,86.88,17,3.7
2015,2,14,18,16,43,36.16,71.3,100,5.2
2015,2,15,14,14,12.3,35.07,76.04,72,4.5
2015,2,15,14,46,9,36.74,76.79,15,4
2015,2,15,20,51,51,11.28,91.74,41,3
2015,2,18,4,7,48.9,24.13,93.8,77,3.5
2015,2,18,13,49,30.2,37.96,73.55,90,4.5
2015,2,19,9,18,15.6,26.74,96.93,15,3.7
2015,2,21,15,55,35.5,25.71,94.21,97,3.9
2015,2,23,6,32,3.4,10.84,91.69,10,4.2
2015,2,23,6,36,32.7,26.09,95.23,114,4.2
2015,2,23,8,17,46.9,23.67,90.91,31,3.6
2015,2,24,12,54,41.4,25.66,91.5,18,3.6
2015,2,25,0,39,13.6,15.69,80.24,8,4
2015,2,26,13,58,7.3,36.72,71.02,150,5
2015,2,26,21,59,0.4,34.99,72.83,29,5.3
2015,2,27,14,54,22.2,36.43,69.86,80,4.3
2015,3,2,16,1,27,35.84,70.99,143,4.8
2015,3,2,20,51,54.7,36.03,77.67,28,4.4
2015,3,3,20,58,36,36.68,70.6,200,3.9
2015,3,4,6,0,49.5,36.01,69.15,100,4.1
2015,3,5,21,27,24.2,36.66,70.93,176,5.1
2015,3,8,5,45,20.7,22.79,95.82,10,3.5
2015,3,10,17,49,37.2,29.83,70.02,10,3.9
2015,3,11,19,14,33.7,36.54,71,159,4.5
2015,3,12,0,20,14.6,33.81,69.2,33,3.9
2015,3,12,13,24,8.8,32.63,73.5,10,3.1
2015,3,12,21,55,42.4,36.1,69.81,150,3.9
2015,3,13,4,17,20.2,9.7,92.04,115,3.7
2015,3,14,19,42,14.3,36.26,70.19,150,4.2
2015,3,14,20,37,26,23.97,93.88,23,3.8
2015,3,15,20,21,3.2,36.85,71.55,272,4.6
2015,3,17,15,28,40.7,24.48,94.93,100,4.1
2015,3,19,2,15,0.6,37.4,75.92,33,4
2015,3,19,3,43,14.8,29.32,92.16,10,3.3
2015,3,19,3,37,8.1,15.54,80.27,15,3.4
2015,3,19,9,41,57.2,24.02,72.72,10,3.6
2015,3,20,8,24,24.2,33.37,68.78,15,4.4
2015,3,21,17,44,31.7,36.74,71.42,66,4.9
2015,3,21,23,14,16.7,36.11,70.52,120,4.2
2015,3,22,10,20,19,25.61,92.67,40,3.8
2015,3,22,12,6,44.7,22.73,92.69,10,3.5
2015,3,23,11,53,27.6,29,77.64,10,3.4
2015,3,24,0,10,52.7,36.63,70.87,268,4.5
2015,3,24,20,45,46.7,29.74,69.55,10,4.2
2015,3,25,6,41,24.2,36.78,70.99,79,4.7
2015,3,25,10,13,10.1,13.44,91.83,29,4.6
2015,3,26,3,20,39,7.43,91.87,10,4.4
2015,3,26,4,43,18.7,31.2,69.92,10,3.6
2015,3,26,13,35,5.5,32.15,68.93,10,3.9
2015,3,27,2,0,46.4,36.47,71.34,299,4.4
2015,3,27,18,51,40.7,9.56,93.9,52,4.9
2015,4,1,9,43,35.2,25.87,90.6,10,4
2015,4,1,21,23,54.2,30.27,79.49,5,4.9
2015,4,2,0,56,40.7,28.71,86.43,35,4.8
2015,4,3,12,23,58.9,23.79,94.54,28,4.1
2015,4,3,12,45,23.2,10.79,93.78,100,4.8
2015,4,3,21,42,42.2,38,74.07,73,4.4
2015,4,5,0,21,56.4,37.22,71.74,130,4.4
2015,4,7,4,41,51,33.1,83.52,10,4.4
2015,4,7,17,7,18.7,36.69,70.83,100,4.5
2015,4,7,22,37,16.7,35.82,70.64,100,4.5
2015,4,8,1,43,49.7,21.83,89.6,30,4.5
2015,4,9,2,14,18.7,37.16,71.56,100,4.5
2015,4,9,11,19,57.2,26.66,92.8,38,3.5
2015,4,9,12,58,29.6,25.67,91.52,5,3.4
2015,4,9,14,12,47.2,37.02,71.55,165,4.8
2015,4,9,22,49,41.2,14.09,92.8,15,5
2015,4,10,6,21,56.7,36.72,71.61,150,4.4
2015,4,10,9,19,54.4,33.86,80.87,282,3.8
2015,4,10,15,47,54.7,36.55,71.68,66,4.2
2015,4,10,18,49,43.5,36.13,70.63,236,4.5
2015,4,12,19,13,18.7,36.65,71.32,200,4.4
2015,4,12,23,39,35.7,24.03,93.85,90,3.8
2015,4,13,4,27,23.1,37.07,71.71,66,4.2
2015,4,13,5,55,11.6,14.17,93.85,28,4.2
2015,4,13,9,27,3.5,35.61,70.39,136,5.2
2015,4,15,4,49,48.9,28.15,95.71,26,4.5
2015,4,15,17,56,59.4,24.58,96.25,10,3.8
2015,4,15,20,49,34,36.52,70.75,50,4.2
2015,4,16,22,5,48.2,26.91,92.65,8,4.8
2015,4,17,0,13,0.6,36.78,69.99,200,4
2015,4,17,0,20,14.5,26.33,92.4,24,3.8
2015,4,18,9,48,7.3,26.45,92.64,39,3.4
2015,4,18,17,22,19.2,10.13,92.39,100,4
2015,4,20,22,48,12.1,26.67,92.51,10,3.8
2015,4,21,0,17,27.7,14.16,92.92,10,5.1
2015,4,21,14,2,17.6,28.76,82.41,5,4.7
2015,4,21,14,32,34,28.63,81.88,5,3.4
2015,4,21,23,7,5.5,37.53,71.65,100,3.9
2015,4,22,1,29,11.3,28.85,82.39,10,3.9
