Year,Mon,day,Origin-Time - hr - (UTC),Origin-Time - min - (UTC),Origin-Time - sec - (UTC),Latitude - ∞N,Longitude - ∞E,Depth - (Km),Magnitude - (Richter scale)
2016,1,1,6,54,40.2,29.84,80.37,10,3.3
2016,1,1,11,16,43.7,36.46,70.12,166,4.8
2016,1,2,8,37,16.7,36.66,70.62,149,5.5
2016,1,3,23,5,22.7,25.02,93.38,72,6.6
2016,1,4,2,27,57.7,12.35,93.63,59,4.1
2016,1,4,3,57,48.5,25.33,93.18,3,3.2
2016,1,4,9,0,0.8,24.8,93.48,77,3.6
2016,1,6,10,25,13.6,25,93.37,68,4.1
2016,1,7,13,42,51.7,27.9,92.91,7,3.8
2016,1,7,15,32,42.9,36.49,70.55,200,4.1
2016,1,8,9,7,5,36.64,70.79,175,5.2
2016,1,9,5,50,29.7,36.71,70.93,170,4
2016,1,9,17,43,56.4,27.66,85.61,10,3.7
2016,1,9,23,45,0.6,35.98,69.04,100,3.8
2016,1,11,12,42,56.7,37.08,71.1,80,3.7
2016,1,12,20,5,0.5,36.21,70.9,223,5.9
2016,1,13,14,19,24.7,36.58,71.21,94,4.3
2016,1,13,20,34,57.2,32.78,91.38,10,4.9
2016,1,14,0,3,56.7,29.64,88.18,10,3.5
2016,1,14,18,45,52.5,36.34,70.06,235,3.8
2016,1,14,22,45,58.9,36.17,71.02,169,3.5
2016,1,14,23,21,44.9,36.11,70.29,33,3.5
2016,1,15,0,25,23.1,24.88,92.39,24,3.3
2016,1,15,19,24,50.2,11.52,92.79,59,4.5
2016,1,16,17,11,47.7,36.49,69.94,171,4.8
2016,1,16,20,43,39.4,36.6,69.22,33,4.6
2016,1,17,19,46,43.2,37.01,70.94,92,5.1
2016,1,18,0,50,31.7,37.46,72.13,243,4.4
2016,1,18,0,52,51,26.37,93.08,10,3.2
2016,1,18,6,4,55.2,24.26,94.56,115,4.4
2016,1,21,19,22,44.4,27.97,85.01,10,4.4
2016,1,22,12,56,27.5,35.94,70.08,128,4.6
2016,1,23,4,54,6.5,36.71,71.21,82,5.1
2016,1,24,6,5,51.9,36.5,70.21,166,4.8
2016,1,24,17,9,26.7,26.93,92.24,10,3.3
2016,1,26,2,24,23.2,36.31,70.86,194,3.9
2016,1,26,8,45,9,36.15,70.13,252,4.2
2016,1,26,9,16,54.7,36.91,71.25,279,3.6
2016,1,26,14,59,50.7,36.95,70.53,150,4.1
2016,1,26,16,57,35,29.7,88.23,34,3.5
2016,1,26,23,19,0.8,37.1,69.48,248,5.7
2016,1,27,22,9,56.2,13.77,93.78,89,4.2
2016,1,28,9,36,3.7,29.73,88.14,10,3.6
2016,1,28,11,52,54.2,36.76,71.39,226,4.2
2016,1,28,22,47,10.1,27.12,75.4,10,3.7
2016,1,30,0,29,22.6,36.44,70.28,269,3.8
2016,1,30,9,39,23.2,28.72,76.49,10,3.1
2016,1,31,4,18,27.5,29.64,84.31,10,3.6
2016,1,31,4,39,51.7,29.59,84.23,10,3.4
2016,2,1,19,48,36.5,23.89,93.81,20,3.7
2016,2,1,23,49,31.6,26.51,93.29,33,3.6
2016,2,4,7,10,30.5,32.69,75.88,5,4.3
2016,2,4,15,30,46.4,13.96,93.12,10,4.6
2016,2,5,16,20,13.1,27.76,85.37,20,4.7
2016,2,8,0,33,5.3,36.8,70.78,100,4.7
2016,2,8,1,15,32.2,36.34,70.87,150,4.8
2016,2,8,11,5,56.5,25.04,94.86,94,4
2016,2,9,2,29,1.2,31.52,86.58,30,4.3
2016,2,9,15,13,47.7,32.87,76.21,10,4.1
2016,2,10,16,27,43.4,27.62,85.64,20,3.7
2016,2,10,19,15,20.7,36.08,70.78,200,4.4
2016,2,10,21,33,8.6,36.34,71.05,100,4.1
2016,2,10,22,45,31.5,25.68,91.92,5,3.1
2016,2,13,19,40,16.6,36.72,71.32,150,5
2016,2,13,20,50,23,36.73,71.07,200,3.8
2016,2,13,21,37,53.5,27.22,89.34,20,3.7
2016,2,14,19,57,15.5,30.05,70.12,20,4
2016,2,15,16,35,28,30.32,79.88,10,3.6
2016,2,16,23,6,57,26.24,93.43,12,4.2
2016,2,17,17,34,12.1,6.36,94.99,10,4.9
2016,2,18,6,5,58.7,36.94,70.2,200,4.6
2016,2,20,0,57,53,31.72,69.78,10,4.1
2016,2,20,12,56,37.5,37.93,73.72,200,4.8
2016,2,20,18,43,42.5,36.57,70.2,200,4.4
2016,2,21,3,39,37.4,7.09,92.66,50,4.7
2016,2,21,7,50,56.4,30.92,78.28,5,3.3
2016,2,21,9,12,5.5,36.34,70.61,180,6
2016,2,21,16,32,7.3,36.2,78.29,50,4.6
2016,2,21,18,9,56.5,28.29,84.22,30,4.7
2016,2,22,18,21,7,8.32,91.78,10,5
2016,2,23,0,33,30.7,32.53,95.31,10,4.6
2016,2,24,2,6,52.9,24.84,72.19,10,3.3
2016,2,24,7,6,52.5,36.6,70.16,200,4.5
2016,2,24,8,29,28.7,35.99,71.2,100,4
2016,2,24,9,22,18.2,27.51,85.57,10,4.5
2016,2,27,0,31,0.6,13.17,94.05,100,4.9
2016,2,28,23,11,8.6,11.1,94.1,50,4.4
2016,3,1,7,33,36.7,36.08,68.13,33,4.4
2016,3,2,4,3,50.7,26.73,95.31,11,3.9
2016,3,2,6,35,9.3,29.7,69.62,10,4.6
2016,3,3,14,52,47.5,33.62,81.71,10,3.9
2016,3,4,22,55,43.5,35.6,70.02,90,3.8
2016,3,6,0,50,20.2,24.47,92.84,31,3.7
2016,3,6,0,49,2.4,30.98,68.93,10,3.3
2016,3,6,2,46,1.6,36.72,71.76,100,4.2
2016,3,6,8,51,16.2,24.47,92.93,25,3.6
2016,3,7,3,13,59.9,20.9,94.89,104,4.5
2016,3,7,8,5,16.6,29.87,82.15,10,3.7
2016,3,7,12,22,59.7,22.82,93.82,13,4.4
2016,3,8,9,55,10.3,9.38,93.03,15,4.5
2016,3,8,18,35,4.4,37.31,71.8,83,4.2
2016,3,9,1,22,8.1,36.73,69.96,150,4.1
2016,3,10,9,46,59,25.63,91.88,9,3.1
2016,3,10,9,50,32.5,25.64,91.9,5,3
2016,3,10,11,55,51.5,35.1,72.88,38,3.3
2016,3,10,15,2,10.5,22.8,94.11,33,3.6
2016,3,11,14,44,30.2,36.35,84.25,10,4.3
2016,3,12,2,1,24.7,36.34,70.06,256,3.7
2016,3,12,9,39,33.7,10.72,91.84,33,3.5
2016,3,12,13,51,58,36.86,69.95,225,4.6
2016,3,12,16,15,13,26.85,89.13,10,4
2016,3,13,5,15,35.7,27.74,84.84,10,3.9
2016,3,13,10,30,9.6,26.27,92.4,34,4
2016,3,13,15,4,36,10.54,94.16,115,3.7
2016,3,14,21,27,34.2,27.79,85.63,10,3.8
2016,3,15,4,28,28,30.44,97.79,33,4.1
2016,3,17,16,46,55.4,34.78,78.46,33,4.1
2016,3,17,23,46,38.9,36.53,71.41,307,3.6
2016,3,18,3,37,38.4,25.81,73.21,7,3.6
2016,3,19,0,11,24.6,36.79,70.78,156,3.8
2016,3,20,0,18,58.5,36.38,70.44,225,4.3
2016,3,20,16,54,9.6,30.58,93.31,10,4.8
2016,3,20,18,22,49.4,36.46,71.71,383,4.3
2016,3,21,2,19,40.7,25.25,92.49,22,3.1
2016,3,22,11,48,46.2,26.3,96.39,7,4
2016,3,22,20,14,52.4,36.41,71.18,182,3.9
2016,3,23,10,49,55.7,24.54,96.46,13,4
2016,3,23,21,23,36,36.86,71.13,100,4
2016,3,24,6,17,12.8,24.91,93.95,33,3.2
2016,3,24,9,10,53,35.45,71.56,33,3.9
2016,3,24,17,26,11.1,27.83,88.1,68,3.6
2016,3,25,19,3,56,36.44,70.67,166,4.1
2016,3,25,20,27,33.5,36.43,70.61,179,3.6
2016,3,26,18,39,27.7,36.73,70.27,241,4
2016,3,27,8,11,36,36.9,70.51,158,4.6
2016,3,28,15,42,48.2,24.68,93.04,9,3.4
2016,3,28,18,40,7.5,26.04,90.75,15,4
2016,3,30,2,4,10.6,32.53,76.11,10,3.4
2016,3,30,12,26,43.2,27.85,85.65,8,3.9
2016,4,1,8,12,37.4,36.38,70.27,200,4.2
2016,4,3,10,58,33.5,23.86,94.15,40,4.1
2016,4,3,20,31,34.4,24.18,94.54,120,3.8
2016,4,4,4,31,27.6,27.62,86.06,10,4
2016,4,4,11,12,53,36.75,70.39,100,3.9
2016,4,5,7,42,24.7,25.83,90.53,10,4.9
2016,4,7,15,15,54.4,36.6,71.12,100,4.4
2016,4,7,20,3,2.9,26.94,75.25,10,3.4
2016,4,7,21,24,41.7,34.37,69.23,35,4.3
2016,4,8,0,24,7.3,36.33,70.59,130,3.8
2016,4,8,2,19,48.2,36.38,70.6,100,5
2016,4,8,9,59,0.4,36.37,69.85,120,3.6
2016,4,8,14,30,41.2,36.93,70.86,100,5.2
2016,4,9,13,20,15.3,27.54,85.27,10,4
2016,4,10,10,28,59.5,36.28,71.17,203,6.8
2016,4,10,22,14,11,36.6,69.95,200,4.6
2016,4,11,7,34,11.8,36.23,70.87,220,4
2016,4,11,10,36,11.6,29.95,80.27,10,3.7
2016,4,11,11,28,51.2,36.05,70.85,110,3.8
2016,4,12,7,10,6.8,36.25,70.64,110,4
2016,4,12,11,55,49.2,26.06,90.86,10,3.9
2016,4,12,14,41,52.5,27.54,86.12,10,4
2016,4,13,1,23,21,36.66,71.02,150,3.9
2016,4,13,3,56,54.5,24.84,94.21,60,4.5
2016,4,13,9,50,40.2,37.41,71.99,200,4.3
2016,4,13,13,55,19.5,23.1,94.66,130,7
2016,4,14,0,39,50.5,23.11,94.39,10,3.3
2016,4,14,5,41,53.4,23.78,94.09,33,4.7
2016,4,14,16,23,37.2,23.05,93.29,5,3.5
2016,4,14,23,24,27.2,24.94,92.46,10,3.2
2016,4,15,8,51,52.5,35.68,69.9,100,3.9
2016,4,15,12,51,19.6,36.77,71.46,100,4.3
2016,4,16,2,10,41.5,36.24,70.55,90,4.9
2016,4,16,4,33,7.4,28.29,87.25,10,3.8
2016,4,17,9,52,44,36.5,71.37,200,4.3
2016,4,17,15,6,1.6,25.58,91.02,5,3.5
2016,4,18,15,29,53,12.98,92.32,10,4.3
2016,4,19,1,14,47.7,24.86,92.76,10,3.7
2016,4,19,17,22,18.2,28.49,87.95,30,4.4
2016,4,19,20,33,3.5,10.58,93.4,10,5.1
2016,4,20,3,28,18.7,36.56,69.75,220,5.1
2016,4,20,11,2,45.5,36.31,70.77,100,4.4
2016,4,22,2,43,9.8,9.93,93.23,30,4
2016,4,22,7,50,34.9,24.67,96.93,50,4.1
2016,4,23,9,32,55,32.2,95.22,10,4.3
2016,4,23,10,40,55.7,32.53,94.93,10,4.5
2016,4,23,20,31,5,27.99,85.01,150,3.7
2016,4,24,21,43,4.5,37.25,71.76,120,5.2
2016,4,24,21,55,41.5,10.57,91.43,10,4.8
2016,4,26,9,33,37,28.05,85.36,10,4
2016,4,27,0,26,46,35.37,81.58,33,3.8
2016,4,27,10,54,31.7,37.38,72.16,150,4.5
2016,4,28,17,32,36.9,35.99,70.12,100,3.6
2016,5,1,6,16,5,36.61,70.46,100,4.4
2016,5,2,15,49,4,22.23,94.52,100,4.2
2016,5,3,2,54,31.7,37.25,72.48,103,3.9
2016,5,3,16,31,50.4,29.95,88.32,10,3
2016,5,5,4,52,43.5,36.88,71.61,313,4.6
2016,5,5,18,0,32,30.07,79.93,12,4
2016,5,5,19,22,39.7,30.02,79.92,10,3.6
2016,5,6,3,6,44.7,23.74,94.28,4,3.1
2016,5,6,8,36,8.6,28.7,92.18,10,3.5
2016,5,6,15,14,5.4,26.45,92.98,38,3.2
2016,5,7,9,43,40,25.44,91.71,24,4.1
2016,5,8,20,37,4,36.72,70.96,261,4.2
2016,5,9,5,17,53.7,28.38,85.88,10,3.8
2016,5,9,6,12,2.7,26.24,92.82,36,3.4
2016,5,9,7,46,30.2,23.3,70.38,10,3.3
2016,5,9,16,0,24.7,11.32,91.47,24,4.5
2016,5,9,16,3,49,11.4,91.49,10,5.2
2016,5,10,20,49,36.2,30.42,69.86,10,4.1
2016,5,11,1,15,48.5,32.06,94.78,10,5.4
2016,5,11,8,52,46.5,27.84,84.59,10,4.2
2016,5,11,9,54,58.7,36.49,70.75,300,4.3
2016,5,12,3,2,33.2,36.13,71.05,224,4.7
2016,5,12,7,54,18.7,24.38,94.19,84,4.6
2016,5,12,11,56,8.8,24.48,94.37,20,3.9
2016,5,12,16,1,55.5,36.41,68.39,33,4.1
2016,5,12,16,59,52.2,24.36,72.58,39,3.1
2016,5,13,23,20,59.9,27.92,85.55,10,3.4
2016,5,14,22,45,53.5,27.89,85.53,10,4
